Category;Description;Nutrient Data Bank Number;Data.Alpha Carotene;Data.Ash;Data.Beta Carotene;Data.Beta Cryptoxanthin;Data.Carbohydrate;Data.Cholesterol;Data.Choline;Data.Fiber;Data.Kilocalories;Data.Lutein and Zeaxanthin;Data.Lycopene;Data.Manganese;Data.Niacin;Data.Pantothenic Acid;Data.Protein;Data.Refuse Percentage;Data.Retinol;Data.Riboflavin;Data.Selenium;Data.Sugar Total;Data.Thiamin;Data.Water;Data.Fat.Monosaturated Fat;Data.Fat.Polysaturated Fat;Data.Fat.Saturated Fat;Data.Fat.Total Lipid;Data.Household Weights.1st Household Weight;Data.Household Weights.1st Household Weight Description;Data.Household Weights.2nd Household Weight;Data.Household Weights.2nd Household Weight Description;Data.Major Minerals.Calcium;Data.Major Minerals.Copper;Data.Major Minerals.Iron;Data.Major Minerals.Magnesium;Data.Major Minerals.Phosphorus;Data.Major Minerals.Potassium;Data.Major Minerals.Sodium;Data.Major Minerals.Zinc;Data.Vitamins.Vitamin A - IU;Data.Vitamins.Vitamin A - RAE;Data.Vitamins.Vitamin B12;Data.Vitamins.Vitamin B6;Data.Vitamins.Vitamin C;Data.Vitamins.Vitamin E;Data.Vitamins.Vitamin K;;;;;;;;
BABYFOOD;BABYFOOD;MEAT;BF;STR;3002;0;0.57;0;0;2.43;51;38;0.0;81;0;0;0.037;2.495;0.083;12.03;0;0;0.135;2.9;0.0;0.013;82.44;0.95;0.16;1.18;2.52;14.66;1 tbsp;28;1 oz;5;0.148;0.98;11;93;187;46;2.22;0;0;1.26;0.039;;;;;;;;
BABYFOOD;BABYFOOD;MEAT;BF;STR;3003;0;0.57;0;0;2.43;51;38;0.0;81;0;0;0.037;2.495;0.083;12.03;0;0;0.135;2.9;0.0;0.013;82.44;0.95;0.16;1.18;2.52;28.35;1 oz;15;1 tbsp;5;0.148;0.98;11;93;187;46;2.22;0;0;1.26;0.039;;;;;;;;
BABYFOOD;BABYFOOD;MEAT;VEAL;STR;3005;0;0.54;0;0;1.51;33;50;0.0;81;0;0;0.037;2.85;0.155;13.12;0;0;0.116;3.5;0.0;0.023;82.37;1.054;0.157;1.063;2.45;16.16;1 tbsp;28;1 oz;6;0.148;0.76;11;98;170;39;2.5;0;0;1.65;0.049;;;;;;;;
BABYFOOD;BABYFOOD;MEAT;PORK;STR;3007;0;1.1;0;0;0.0;48;0;0.0;124;0;0;0.0;2.269;0.272;14.0;0;11;0.203;12.9;0.0;0.146;78.4;3.58;0.78;2.4;7.1;28.35;1 oz;71;1 jar;5;0.072;1.0;10;94;223;42;2.27;38;11;0.99;0.205;;;;;;;;
BABYFOOD;BABYFOOD;MEAT;HAM;STR;3008;0;0.7;0;0;3.7;24;45;0.0;97;0;0;0.0;2.633;0.51;11.3;0;2;0.154;14.2;0.0;0.139;80.5;1.803;0.51;1.267;3.8;15.0;1 tbsp;28;1 oz;6;0.065;1.03;13;81;204;41;2.25;5;2;0.1;0.252;;;;;;;;
BABYFOOD;BABYFOOD;MEAT;HAM;JUNIOR;3009;0;0.7;0;0;3.7;29;45;0.0;97;0;0;0.0;2.84;0.531;11.3;0;0;0.194;15.0;0.0;0.142;80.5;1.804;0.516;1.271;3.8;28.35;1 oz;71;1 jar;5;0.068;1.01;11;89;210;67;1.7;0;0;0.1;0.2;;;;;;;;
BABYFOOD;BABYFOOD;MEAT;LAMB;STR;3010;0;0.6;0;0;0.85;36;55;0.0;87;0;0;0.037;2.908;0.112;14.07;0;0;0.174;2.2;0.0;0.02;81.06;1.27;0.31;1.65;3.41;21.51;1 tbsp;28;1 oz;7;0.148;1.19;13;104;193;43;2.43;0;0;1.9;0.037;;;;;;;;
BABYFOOD;BABYFOOD;MEAT;LAMB;JUNIOR;3011;0;0.9;0;0;0.0;38;55;0.0;112;0;0;0.0;3.193;0.424;15.2;0;8;0.191;7.0;0.0;0.019;79.6;2.06;0.22;2.56;5.2;28.35;1 oz;71;1 jar;7;0.057;1.66;10;91;211;73;2.6;27;8;2.27;0.183;;;;;;;;
BABYFOOD;BABYFOOD;MEAT;CHICK;STR;3012;0;0.49;0;0;0.1;61;43;0.0;130;0;0;0.0;3.255;0.68;13.7;0;6;0.152;11.0;0.0;0.014;77.5;3.56;1.92;2.03;7.9;15.0;1 tbsp;28;1 oz;64;0.045;1.4;13;97;141;47;1.21;21;6;0.4;0.2;;;;;;;;
BABYFOOD;BABYFOOD;MEAT;CHICK;JR;3013;0;0.49;0;0;0.0;59;43;0.0;146;0;0;0.0;3.42;0.726;14.0;0;11;0.163;10.3;0.0;0.014;76.0;4.33;2.33;2.47;9.6;15.0;1 tbsp;28;1 oz;55;0.045;0.99;11;90;122;51;1.01;40;11;0.4;0.188;;;;;;;;
